ArrayExpress.Accession	PubMed.ID	ForeName LastName	order
E-GEOD-58973	25180063	Ulf Klein	7
E-GEOD-58996	25101683	Michal Mielcarek	1
E-GEOD-58996	25101683	Linda Inuabasi	2
E-GEOD-58996	25101683	Marie K Bondulich	3
E-GEOD-58996	25101683	Thomas Muller	4
E-GEOD-58996	25101683	Georgina F Osborne	5
E-GEOD-58996	25101683	Sophie A Franklin	6
E-GEOD-58996	25101683	Donna L Smith	7
E-GEOD-58996	25101683	Andreas Neueder	8
E-GEOD-58996	25101683	Jim Rosinski	9
E-GEOD-58996	25101683	Ivan Rattray	10
E-GEOD-58996	25101683	Andrea Protti	11
E-GEOD-58996	25101683	Gillian P Bates	12
E-GEOD-59215	25172496	Deirdre D Scripture-Adams	1
E-GEOD-59215	25172496	Sagar S Damle	2
E-GEOD-59215	25172496	Long Li	3
E-GEOD-59215	25172496	Koorosh J Elihu	4
E-GEOD-59215	25172496	Shuyang Qin	5
E-GEOD-59215	25172496	Alexandra M Arias	6
E-GEOD-59215	25172496	Robert R Butler	7
E-GEOD-59215	25172496	Ameya Champhekar	8
E-GEOD-59215	25172496	Jingli A Zhang	9
E-GEOD-59215	25172496	Ellen V Rothenberg	10
E-GEOD-60968	25269644	Qihuang Jin	1
E-GEOD-60968	25269644	Lenan Zhuang	2
E-GEOD-60968	25269644	Binbin Lai	3
E-GEOD-60968	25269644	Chaochen Wang	4
E-GEOD-60968	25269644	Wenqian Li	5
E-GEOD-60968	25269644	Brian Dolan	6
E-GEOD-60968	25269644	Yue Lu	7
E-GEOD-60968	25269644	Zhibin Wang	8
E-GEOD-60968	25269644	Keji Zhao	9
E-GEOD-60968	25269644	Weiqun Peng	10
E-GEOD-60968	25269644	Sharon Y R Dent	11
E-GEOD-60968	25269644	Kai Ge	12
E-GEOD-61216	25457166	Shinseog Kim	1
E-GEOD-61216	25457166	Ufuk Günesdogan	2
E-GEOD-61216	25457166	Jan J Zylicz	3
E-GEOD-61216	25457166	Jamie A Hackett	4
E-GEOD-61216	25457166	Delphine Cougot	5
E-GEOD-61216	25457166	Siqin Bao	6
E-GEOD-61216	25457166	Caroline Lee	7
E-GEOD-61216	25457166	Sabine Dietmann	8
E-GEOD-61216	25457166	George E Allen	9
E-GEOD-61216	25457166	Roopsha Sengupta	10
E-GEOD-61216	25457166	M Azim Surani	11
